ignition_type,fuel_type,body_type,kilometers_driven,transmission,owner_no,owner,manufacturer,model,model_year,central_variant_id,variant_name,price,priceActual,priceSaving,priceFixedText,trendingText,heading,car_links,features,registration_year,insurance,Fuel_type,kms_driven,rto,ownership,engine_displacement,Transmission,year_of_manufacture,engine,max_power,torque,wheel_size,seats,color,engine_type,displacement,engine_max_power,engine_max_torque,no_of_cylinders,values_per_cylinder,fuel_suppy_system,turbo_charger,length,width,height,wheel_base,kerb_weight,gear_box,drive_type,steering_type,seating_capacity,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_of_doors,cargo_volumn,City
0,Petrol,Hatchback,"15,584",Manual,1,1st Owner,Maruti,Maruti Alto 800,2013,3943,LXI,₹ 2.10 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Lxi-cars-Kolkata_70783974-e1ef-4ac4-94a8-55d99373a699.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Day Night Rear View Mirror, Passenger Side Rear View Mirror",Jan 2014,Comprehensive,Petrol,"15,584 Kms",Wb24,First Owner,796 cc,Manual,2013.0,796 CC,47.3bhp,69Nm,,5,Silver,F8D Petrol Engine,796,47.3bhp@6000rpm,69Nm@3500rpm,3.0,4.0,MPFi,No,3395mm,1490mm,1475mm,2360mm,720kg,5 Speed,FWD,Power,5,Solid Disc,Drum,Tubeless Tyres,,5,177-litres,Kolkata
0,Diesel,Sedan,"64,400",Manual,1,1st Owner,Honda,Honda City,2014,1209,i DTec V,₹ 4.10 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/used-car-details/used-Honda-City-I-Dtec-V-cars-Kolkata_17d0aa11-c6ba-423e-8492-61439e813258.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Jul 2014,Comprehensive,Diesel,"64,400 Kms",WB02,First Owner,1498 cc,Manual,2014.0,1498 CC,98.6bhp,200Nm,15,5,Maroon,i DTEC Diesel Engine ,1498,98.6bhp@3600rpm,200Nm@1750rpm,4.0,4.0,Direct Injection,Yes,4440mm,1695mm,1495mm,2600mm,1150kg,6 Speed,FWD,Power,5,Disc,Drum,"Tubeless,Radial",15,4,510-litres,Kolkata
0,Petrol,Hatchback,"13,067",Automatic,1,1st Owner,Maruti,Maruti Swift,2018,7057,AMT ZXI,₹ 6.16 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Amt-Zxi-cars-Kolkata_768ffe1e-c978-4f86-b015-66b80714630b.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Jul 2018,Comprehensive,Petrol,"13,067 Kms",WB20,First Owner,1197 cc,Automatic,2018.0,1197 CC,81.80bhp,113Nm,R15,5,Orange,VTVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,MPFi,No,3840mm,1735mm,1530mm,2450mm,855-885,5,FWD,Electric,5,Disc,Drum,Tubeless,R15,5,268,Kolkata
0,Petrol,Hatchback,"15,264",Manual,1,1st Owner,Maruti,Maruti Alto 800,2021,7073,LXI,₹ 3.32 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Lxi-cars-Kolkata_547c0914-9716-44af-8bf5-73f161972968.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",Sept 2021,Comprehensive,Petrol,"15,264 Kms",WB02,First Owner,796 cc,Manual,2021.0,796 CC,47.33bhp,69Nm,,5,Silver,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,3445,1515,1475,2360,755,5 Speed,,,5,Disc,Drum,Tubeless Tyres,,5,,Kolkata
0,Diesel,SUV,"11,853",Automatic,1,1st Owner,Kia,Kia Seltos,2022,8569,X-Line Diesel AT,₹ 18.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/used-car-details/used-Kia-Seltos-X-line-Diesel-At-cars-Kolkata_64df2b1a-0d8d-450a-a352-77cf17d4ea83.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Jan 2022,Comprehensive,Diesel,"11,853 Kms",WB02,First Owner,1493 cc,Automatic,2022.0,1493 CC,113.43bhp,250Nm,18,5,Green,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250Nm@1500-2750rpm,4.0,4.0,CRDi,Yes,4315mm,1800mm,1645mm,2610mm,1480,6-Speed,FWD,Electric,5,Disc,Disc,"Tubeless, Radial",18,5,433,Kolkata
0,Petrol,Hatchback,"7,843",Manual,1,1st Owner,Maruti,Maruti Alto K10,2019,3946,VXI,₹ 3.79 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-K10-Vxi-cars-Kolkata_ea055f92-00ed-4230-94d4-32ef8bfd6715.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Oct 2019,Comprehensive,Petrol,"7,843 Kms",WB96,First Owner,998 cc,Manual,2019.0,998 CC,67.05bhp,90Nm,,5,Grey,K Series Petrol Engine,998,67.05bhp@6000rpm,90Nm@3500rpm,3.0,4.0,MPFi,No,3545mm,1515mm,1475mm,2360mm,779kg,5 Speed,FWD,Power,5,Ventilated Disc,Drum,"Tubeless,Radial",,5,177,Kolkata
0,Petrol,Hatchback,"2,501",Automatic,1,1st Owner,Hyundai,Hyundai i20,2021,8890,Asta Opt IVT BSVI,₹ 8.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-Opt-Ivt-Bsvi-cars-Kolkata_d246e36f-b010-4901-93ad-6bf345ad8bc4.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Jul 2021,Third Party insurance,Petrol,"2,501 Kms",WB02,First Owner,1197 cc,Automatic,2021.0,1197 CC,86.76bhp,114.74Nm,16,5,Blue,1.2 l Kappa petrol,1197,86.76bhp@6000rpm,114.74Nm@4200rpm,4.0,4.0,,No,3995mm,1775mm,1505mm,2580mm,1190,IVT,,Electric,5,Disc,Drum,"Tubeless, Radial",16,5,311,Kolkata
0,Petrol,Hatchback,"9,285",Manual,1,1st Owner,Maruti,Maruti Alto 800,2022,7075,VXI BSVI,₹ 3.79 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Vxi-Bsvi-cars-Kolkata_2ba65758-bbcd-40d7-a405-ccc260cab36e.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Mar 2022,Comprehensive,Petrol,"9,285 Kms",wB24,First Owner,796 cc,Manual,2022.0,796 CC,47.33bhp,69Nm,,5,Grey,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,3445mm,1515mm,1475mm,2360mm,762kg,5 Speed,,,5,Disc,Drum,Tubeless Tyres,,5,,Kolkata
0,Petrol,Hatchback,"51,215",Manual,1,1st Owner,Maruti,Maruti Alto 800,2014,3943,LXI,₹ 2.10 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Lxi-cars-Kolkata_834036ad-86ae-4beb-a4e3-aa3bf2564384.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Day Night Rear View Mirror, Passenger Side Rear View Mirror",Feb 2014,Comprehensive,Petrol,"51,215 Kms",WB02,First Owner,796 cc,Manual,2014.0,796 CC,47.3bhp,69Nm,,5,Blue,F8D Petrol Engine,796,47.3bhp@6000rpm,69Nm@3500rpm,3.0,4.0,MPFi,No,3395mm,1490mm,1475mm,2360mm,720kg,5 Speed,FWD,Power,5,Solid Disc,Drum,Tubeless Tyres,,5,177-litres,Kolkata
0,Diesel,SUV,"23,400",Automatic,1,1st Owner,Mahindra,Mahindra Scorpio N,2022,9238,Z8L Diesel 4x4 AT BSVI,₹ 22.99 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-N-Z8l-Diesel-4x4-At-Bsvi-cars-Kolkata_75cdcdbc-bc4d-41ed-9905-615b8d00e4c2.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Sept 2022,Third Party insurance,Diesel,"23,400 Kms",WB30,First Owner,2198 cc,Automatic,2022.0,2198 CC,172.45bhp,400Nm,18,7,Black,mHawk,2198,172.45bhp@3500rpm,400Nm@1750-2750rpm,4.0,4.0,,Yes,4662mm,1917,1857,2750,1885,6-Speed,4WD,Electric,7,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,5,,Kolkata
